researcher_id,first_name,last_name,field,institution,joined_year,h_index,publications_count,is_active,country,email,pub_id,title,year,citations,journal,open_access,grant_id,funding_body,year_awarded,amount_cad,project_title,status
R030,Erik,Johansson,Computer Vision,University of Toronto,2008,15,60,False,France,erik.johansson@university.edu,,,,,,,G025,SSHRC,2021.0,70000.0,AI for Climate,active
R015,James,Martínez,Data Engineering,University of Toronto,2007,14,42,True,UK,james.martínez@university.edu,,,,,,,G014,CFI,2023.0,65000.0,Data for Good,active
R015,James,Martínez,Data Engineering,University of Toronto,2007,14,42,True,UK,james.martínez@university.edu,,,,,,,G023,SSHRC,2015.0,55000.0,Data for Good,completed
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P006,Transformer Models in Low-Resource Settings,2020.0,112.0,ICML,False,G011,CFI,2016.0,55000.0,Ethical AI,completed
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P006,Transformer Models in Low-Resource Settings,2020.0,112.0,ICML,False,G018,SSHRC,2017.0,75000.0,AI for Climate,pending
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P048,Efficient Data Pipelines at Scale,2017.0,62.0,ACL,False,G011,CFI,2016.0,55000.0,Ethical AI,completed
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P048,Efficient Data Pipelines at Scale,2017.0,62.0,ACL,False,G018,SSHRC,2017.0,75000.0,AI for Climate,pending
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P_HIDDEN,Data Opens Doors: A Manifesto for Open Research,2024.0,9999.0,Nature Machine Intelligence,True,G011,CFI,2016.0,55000.0,Ethical AI,completed
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P_HIDDEN,Data Opens Doors: A Manifesto for Open Research,2024.0,9999.0,Nature Machine Intelligence,True,G018,SSHRC,2017.0,75000.0,AI for Climate,pending
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P031,Federated Learning for Privacy Preservation,2021.0,157.0,Nature Machine Intelligence,True,G011,CFI,2016.0,55000.0,Ethical AI,completed
R001,Claire,Davidson,Machine Learning,UBC,2008,16,64,True,Jordan,claire.davidson@pssar.ca,P031,Federated Learning for Privacy Preservation,2021.0,157.0,Nature Machine Intelligence,True,G018,SSHRC,2017.0,75000.0,AI for Climate,pending
R003,Miguel,Torres,Computer Vision,University of Waterloo,2010,21,126,True,Jordan,miguel.torres@pssar.ca,P015,Causal Inference with Observational Data,2017.0,128.0,NeurIPS,False,G008,CFI,2023.0,45000.0,Ethical AI,completed
R003,Miguel,Torres,Computer Vision,University of Waterloo,2010,21,126,True,Jordan,miguel.torres@pssar.ca,P015,Causal Inference with Observational Data,2017.0,128.0,NeurIPS,False,G013,CIHR,2016.0,95000.0,Healthcare NLP,completed
R003,Miguel,Torres,Computer Vision,University of Waterloo,2010,21,126,True,Jordan,miguel.torres@pssar.ca,P015,Causal Inference with Observational Data,2017.0,128.0,NeurIPS,False,G015,Mitacs,2022.0,120000.0,Healthcare NLP,active
R012,Sara,Omar,Bioinformatics,University of Waterloo,2019,17,102,True,Palestine,sara.omar@pssar.ca,P013,Efficient Data Pipelines at Scale,2019.0,194.0,ACL,False,G002,SSHRC,2022.0,50000.0,Data for Good,pending
R027,Elif,Yildiz,Computer Vision,Oxford,2012,7,28,False,UK,elif.yildiz@university.edu,P044,Self-Supervised Learning in Vision,2010.0,179.0,Nature Machine Intelligence,True,G003,Mitacs,2016.0,100000.0,Ethical AI,completed
R027,Elif,Yildiz,Computer Vision,Oxford,2012,7,28,False,UK,elif.yildiz@university.edu,P044,Self-Supervised Learning in Vision,2010.0,179.0,Nature Machine Intelligence,True,G028,CFI,2016.0,80000.0,Healthcare NLP,active
R034,Isabela,Silva,NLP,Oxford,2011,13,52,False,Canada,isabela.silva@university.edu,P029,Deep Learning for Medical Imaging,2020.0,20.0,ACL,True,G022,SSHRC,2015.0,45000.0,Multilingual Models,active
R034,Isabela,Silva,NLP,Oxford,2011,13,52,False,Canada,isabela.silva@university.edu,P037,Self-Supervised Learning in Vision,2019.0,129.0,NeurIPS,False,G022,SSHRC,2015.0,45000.0,Multilingual Models,active
R021,Carlos,Ramos,Data Engineering,Oxford,2012,12,36,False,France,carlos.ramos@university.edu,P042,Uncertainty Quantification in Neural Networks,2011.0,65.0,ICLR,False,G006,CFI,2017.0,60000.0,Ethical AI,pending
R021,Carlos,Ramos,Data Engineering,Oxford,2012,12,36,False,France,carlos.ramos@university.edu,P042,Uncertainty Quantification in Neural Networks,2011.0,65.0,ICLR,False,G020,NSERC,2022.0,80000.0,Ethical AI,completed
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P039,Efficient Data Pipelines at Scale,2019.0,25.0,ICML,True,G001,SSHRC,2022.0,75000.0,Data for Good,active
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P039,Efficient Data Pipelines at Scale,2019.0,25.0,ICML,True,G016,Mitacs,2015.0,50000.0,AI for Climate,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P039,Efficient Data Pipelines at Scale,2019.0,25.0,ICML,True,G027,CFI,2021.0,95000.0,Multilingual Models,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P023,Transformer Models in Low-Resource Settings,2011.0,127.0,ICML,False,G001,SSHRC,2022.0,75000.0,Data for Good,active
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P023,Transformer Models in Low-Resource Settings,2011.0,127.0,ICML,False,G016,Mitacs,2015.0,50000.0,AI for Climate,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P023,Transformer Models in Low-Resource Settings,2011.0,127.0,ICML,False,G027,CFI,2021.0,95000.0,Multilingual Models,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P054,Deep Learning for Medical Imaging,2023.0,68.0,Nature Machine Intelligence,False,G001,SSHRC,2022.0,75000.0,Data for Good,active
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P054,Deep Learning for Medical Imaging,2023.0,68.0,Nature Machine Intelligence,False,G016,Mitacs,2015.0,50000.0,AI for Climate,pending
R006,Arjun,Patel,Robotics,Concordia University,2013,19,76,True,Palestine,arjun.patel@pssar.ca,P054,Deep Learning for Medical Imaging,2023.0,68.0,Nature Machine Intelligence,False,G027,CFI,2021.0,95000.0,Multilingual Models,pending
R009,Fatima,Siddiqui,Machine Learning,York University,2016,20,80,True,Lebanon,fatima.siddiqui@pssar.ca,P059,Bias in NLP Benchmarks: A Critical Review,2010.0,68.0,JMLR,False,G026,CFI,2019.0,85000.0,Data for Good,pending
R009,Fatima,Siddiqui,Machine Learning,York University,2016,20,80,True,Lebanon,fatima.siddiqui@pssar.ca,P004,Deep Learning for Medical Imaging,2017.0,179.0,Nature Machine Intelligence,True,G026,CFI,2019.0,85000.0,Data for Good,pending
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P025,Bias in NLP Benchmarks: A Critical Review,2023.0,20.0,JMLR,False,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P045,Federated Learning for Privacy Preservation,2017.0,52.0,ICLR,False,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P030,Efficient Data Pipelines at Scale,2014.0,60.0,ACL,True,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P038,Graph Neural Networks for Molecule Prediction,2018.0,42.0,JMLR,True,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P034,Transformer Models in Low-Resource Settings,2012.0,127.0,NeurIPS,False,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P003,Multi-lingual BERT Fine-Tuning,2012.0,171.0,ICLR,True,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
R010,Rania,Dib,Data Engineering,McGill University,2017,23,115,True,UK,rania.dib@pssar.ca,P033,Federated Learning for Privacy Preservation,2013.0,190.0,JMLR,True,G021,Mitacs,2017.0,100000.0,Ethical AI,completed
